switching_cost_w,policy,energy_w_with_cost_mean,energy_w_with_cost_std,energy_saving_with_cost_vs_all_on_mean,energy_saving_with_cost_vs_all_on_std,energy_gap_with_cost_vs_oracle_mean,energy_gap_with_cost_vs_oracle_std,mean_switch_events,served_ratio
75,flat_mlp_pruned,646.2654509007929,32.50113405543365,0.36328527004848,0.032020821729491285,0.06909351123178346,0.062119660212839704,2.985,1.0
75,greedy_sleep,655.1493802696712,31.831796072184638,0.35453263027618603,0.03136137544057599,0.08437531894695346,0.07205440957424321,3.285,1.0
75,load_aware,840.6924325488492,13.170260886199376,0.17173159354793185,0.012975626488866382,0.39102878729927243,0.05454770373051764,0.0,0.9959
75,load_sleep,655.1493802696712,31.831796072184638,0.35453263027618603,0.03136137544057599,0.08437531894695346,0.07205440957424321,3.285,1.0
75,ml_gcn,701.4769767594152,39.67339553016204,0.3088896780695417,0.039087089192277866,0.16053510194440151,0.0764103572908769,2.9200000000000004,1.0
75,ml_gcn_pruned,638.615543747045,30.224570835403114,0.37082212438714784,0.02977790230088976,0.056717696440053034,0.06409953429816677,2.8899999999999997,1.0
75,oracle,605.2541708355396,26.99160060857641,0.40369047208321207,0.02659270995918857,0.0,0.0,2.965,1.0
75,rsrp,832.9797520964296,12.125786113336211,0.17933029350105456,0.011946587303779515,0.3782718038361912,0.05357646268478404,0.0,0.9954000000000001
75,rsrp_sleep,686.8717612191716,50.45696269026024,0.32327905298603776,0.04971129329089679,0.13590845769416557,0.08284742269512257,3.3099999999999996,0.9968
75,sinr,832.9797520964296,12.125786113336211,0.17933029350105456,0.011946587303779515,0.3782718038361912,0.05357646268478404,0.0,0.9954000000000001
75,sinr_sleep,686.8717612191716,50.45696269026024,0.32327905298603776,0.04971129329089679,0.13590845769416557,0.08284742269512257,3.3099999999999996,0.9968
100,agg_gcn,795.6984698122035,49.30904696427515,0.21606062087467626,0.04858034183672429,0.17425536035970418,0.10093486976231872,3.1350000000000002,1.0
100,agg_gcn_pruned,736.564236220582,22.892913285836286,0.2743209495363725,0.02255459437028205,0.08580753386078133,0.0488761788470113,3.12,1.0
100,attn_ml_gcn,774.2304674884824,48.289886526594216,0.23721136208031304,0.047576242883344055,0.1421127247081311,0.09297639626679426,2.8950000000000005,1.0
100,attn_ml_gcn_pruned,715.4157411432313,42.58114138325319,0.2951569052776046,0.04195186343177655,0.05547821825552142,0.08450022489588838,2.935,1.0
100,flat_mlp,788.3003943399756,29.777758748475136,0.22334936518229004,0.029337693348251374,0.16289056608308417,0.07369725294896588,3.035,1.0
100,flat_mlp_pruned,720.8904509007929,36.58261677457812,0.2897631025607952,0.0360419869700277,0.06326225554375238,0.07396967471240797,2.985,1.0
100,greedy_sleep,737.2743802696712,36.642561904437976,0.27362130022692494,0.036101046211268945,0.08800484255617533,0.08388309469165711,3.285,1.0
100,load_aware,840.6924325488492,13.170260886199376,0.17173159354793185,0.012975626488866382,0.23967842919622112,0.0548223850037883,0.0,0.9959
100,load_sleep,737.2743802696712,36.642561904437976,0.27362130022692494,0.036101046211268945,0.08800484255617533,0.08388309469165711,3.285,1.0
100,ml_gcn,774.4769767594152,48.39601529826868,0.23696849580353185,0.04768080324952579,0.14242678063712108,0.09244138157455536,2.9200000000000004,1.0
100,ml_gcn_pruned,710.865543747045,34.696163922047596,0.2996398583772957,0.03418341273108137,0.048856740285334155,0.07741851489807236,2.8899999999999997,1.0
100,oracle,679.3791708355396,32.760743705812814,0.33066091543296583,0.03227659478405204,0.0,0.0,2.965,1.0
100,rsrp,832.9797520964296,12.125786113336211,0.17933029350105456,0.011946587303779515,0.22830574666987888,0.05387999862565534,0.0,0.9954000000000001
100,rsrp_sleep,769.6217612191716,55.39389826543498,0.24175195938997868,0.05457526922702953,0.1347902981413178,0.09192182767825308,3.3099999999999996,0.9968
100,sinr,832.9797520964296,12.125786113336211,0.17933029350105456,0.011946587303779515,0.22830574666987888,0.05387999862565534,0.0,0.9954000000000001
100,sinr_sleep,769.6217612191716,55.39389826543498,0.24175195938997868,0.05457526922702953,0.1347902981413178,0.09192182767825308,3.3099999999999996,0.9968
