policy,assignment_accuracy,energy_w,switching_penalty_w,energy_w_with_switching,energy_saving_vs_all_on,energy_saving_with_switching_vs_all_on,energy_gap_vs_oracle,energy_gap_with_switching_vs_oracle_static,served_ratio,active_bs,switch_events,activation_events,deactivation_events,max_load,energy_gap_with_switching_vs_oracle,seed
load_aware,0.426,846.5225230782447,0.0,846.5225230782447,0.16598766199187714,0.16598766199187714,1.1643367649225562,1.1643367649225562,0.994,7.0,0.0,0.0,0.0,0.6733153157206715,0.7044077890701577,29
oracle,1.0,359.5135722571322,94.5,454.0135722571322,0.6457994361998698,0.5526959879240076,0.0,0.27157251187439757,1.0,2.4,2.7,1.35,1.35,0.833268421452743,0.0,31
greedy_sleep,0.567,384.8564667373729,122.5,507.3564667373729,0.6208310672538198,0.500141412081406,0.0798845657950035,0.4253460465223082,1.0,2.6,3.5,1.75,1.75,0.8410624531611639,0.11749184989128426,31
load_sleep,0.567,384.8564667373729,122.5,507.3564667373729,0.6208310672538198,0.500141412081406,0.0798845657950035,0.4253460465223082,1.0,2.6,3.5,1.75,1.75,0.8410624531611639,0.11749184989128426,31
rsrp_sleep,0.7150000000000001,388.6814042748062,120.75,509.4314042748062,0.6170626558868905,0.4980971386455111,0.07884924334843454,0.4250177960457827,1.0,2.7,3.45,1.75,1.7,0.7987169465933601,0.12206206026433045,31
sinr_sleep,0.7150000000000001,388.6814042748062,120.75,509.4314042748062,0.6170626558868905,0.4980971386455111,0.07884924334843454,0.4250177960457827,1.0,2.7,3.45,1.75,1.7,0.7987169465933601,0.12206206026433045,31
flat_mlp_pruned,0.513,389.26142120437294,112.0,501.261421204373,0.6164912106360857,0.5061463830498789,0.0846485105727023,0.40709777851879797,1.0,2.6,3.2,1.6,1.6,0.872849674575192,0.10406704079868746,31
attn_ml_gcn_pruned,0.583,389.3601983710989,113.75,503.1101983710989,0.6163938932304445,0.504324927713203,0.08631686494138321,0.4116980052700431,1.0,2.65,3.25,1.65,1.6,0.8354487932407346,0.10813911546714873,31
ml_gcn_pruned,0.616,396.1555299281492,112.0,508.1555299281492,0.6096989852924638,0.49935415770625696,0.10747508667152357,0.42874851368580763,1.0,2.7,3.2,1.6,1.6,0.8318765252265719,0.11925184835741763,31
agg_gcn_pruned,0.54,403.69486251839265,110.25,513.9448625183926,0.6022710714104506,0.4936503817552782,0.13031320881937536,0.44760214626606576,1.0,2.75,3.15,1.55,1.6,0.8350977757246293,0.13200330105400046,31
ml_gcn,0.488,430.97157189037154,105.0,535.9715718903715,0.5753974661178606,0.47194919025579163,0.20103951994656125,0.5018412048988344,1.0,2.95,3.0,1.5,1.5,0.8578325223307219,0.18051883168554728,31
attn_ml_gcn,0.48,435.05977533948663,105.0,540.0597753394866,0.571369679468486,0.4679214036064171,0.2106612844778594,0.511464850804598,1.0,3.0,3.0,1.5,1.5,0.8497850646084659,0.189523415907095,31
flat_mlp,0.501,448.2213531875059,113.75,561.9713531875059,0.5584026076970385,0.44633364217979715,0.2490349341471859,0.5739451045381684,1.0,3.1,3.25,1.65,1.6,0.8536393377286091,0.2377853604544479,31
agg_gcn,0.502,457.072917239077,117.25,574.322917239077,0.5496818549368699,0.4341646135575596,0.27053855452275377,0.6012889853339127,1.0,3.2,3.35,1.65,1.7,0.8469033605556122,0.2649906353764403,31
rsrp,0.372,829.311864245757,0.0,829.311864245757,0.1829439761125546,0.1829439761125546,1.3626806028677318,1.3626806028677318,1.0,7.0,0.0,0.0,0.0,0.642974723245311,0.8266235084621507,31
sinr,0.372,829.311864245757,0.0,829.311864245757,0.1829439761125546,0.1829439761125546,1.3626806028677318,1.3626806028677318,1.0,7.0,0.0,0.0,0.0,0.642974723245311,0.8266235084621507,31
load_aware,0.37,836.7196236061275,0.0,836.7196236061275,0.17564569102844588,0.17564569102844588,1.3839998657801926,1.3839998657801926,1.0,7.0,0.0,0.0,0.0,0.6352168578462848,0.8429396712665858,31
oracle,1.0,369.11763421825617,106.75,475.86763421825617,0.6363373061889102,0.5311648923958068,0.0,0.28973745006714624,1.0,2.5,3.05,1.55,1.5,0.8153136678942283,-2.3890432873918393e-16,37
greedy_sleep,0.6940000000000001,382.27142970296876,110.25,492.5214297029688,0.6233779017704741,0.5147572121153017,0.04073966817073482,0.3415595632940262,1.0,2.6,3.15,1.6,1.55,0.822338729540492,0.034996697163636646,37
load_sleep,0.6940000000000001,382.27142970296876,110.25,492.5214297029688,0.6233779017704741,0.5147572121153017,0.04073966817073482,0.3415595632940262,1.0,2.6,3.15,1.6,1.55,0.822338729540492,0.034996697163636646,37
flat_mlp_pruned,0.54,401.36648853677536,113.75,515.1164885367754,0.6045650359243593,0.49249607040711785,0.08587310723648436,0.40616903102973695,1.0,2.7,3.25,1.65,1.6,0.8686277330321653,0.08247851187231117,37
ml_gcn_pruned,0.595,401.4762372913047,103.25,504.72623729130464,0.6044569090726062,0.5027327711415717,0.08829414515797065,0.3741820839697795,1.0,2.75,2.95,1.5,1.45,0.8278228095535749,0.060644181276284036,37
attn_ml_gcn_pruned,0.5599999999999999,402.1565830885293,110.25,512.4065830885293,0.6037866176467692,0.4951659279915968,0.08987358492054513,0.39201219858494146,1.0,2.75,3.15,1.6,1.55,0.8292712387732495,0.0767838496314175,37
