policy,assignment_accuracy,energy_w,energy_saving_vs_all_on,energy_gap_vs_oracle,served_ratio,active_bs,max_load,qos_mbps,num_ues,shadowing_db
sinr,0.3194444444444444,730.1118578679606,0.2806779725438812,1.7227289749372428,1.0,6.916666666666667,0.4104547870971674,6.0,30,10.0
load_aware,0.31666666666666665,739.4537233635392,0.271474164173853,1.7567073806125026,1.0,7.0,0.4107719356982353,6.0,30,10.0
oracle,1.0,270.7418836359663,0.7332592279448608,0.0,0.9972222222222222,1.9166666666666667,0.5953612967404371,6.0,30,10.0
oracle,1.0,368.55819398019406,0.6368884788372472,0.0,1.0,2.5833333333333335,0.7405918827044319,0.5,50,10.0
ml_gcn,0.40166666666666667,486.7835467333041,0.5204102987849221,0.32087129323079705,1.0,3.5,0.7745345095288388,0.5,50,10.0
rsrp,0.38666666666666666,824.656707337367,0.18753033759865315,1.2810467960681102,1.0,7.0,0.6384088694537043,0.5,50,10.0
sinr,0.38666666666666666,824.656707337367,0.18753033759865315,1.2810467960681102,1.0,7.0,0.6384088694537043,0.5,50,10.0
load_aware,0.38166666666666665,832.518265717027,0.17978495988470247,1.3041065982144622,1.0,7.0,0.6425460560666684,0.5,50,10.0
oracle,1.0,368.55819398019406,0.6368884788372472,0.0,1.0,2.5833333333333335,0.7405918827044319,2.0,50,10.0
ml_gcn,0.40166666666666667,486.7835467333041,0.5204102987849221,0.32087129323079705,1.0,3.5,0.7745345095288388,2.0,50,10.0
rsrp,0.38666666666666666,824.656707337367,0.18753033759865315,1.2810467960681102,1.0,7.0,0.6384088694537043,2.0,50,10.0
sinr,0.38666666666666666,824.656707337367,0.18753033759865315,1.2810467960681102,1.0,7.0,0.6384088694537043,2.0,50,10.0
load_aware,0.38166666666666665,832.518265717027,0.17978495988470247,1.3041065982144622,1.0,7.0,0.6425460560666684,2.0,50,10.0
oracle,1.0,360.9712722818941,0.6443632785400059,0.0,1.0,2.5,0.7612247875987932,4.0,50,10.0
ml_gcn,0.3866666666666667,486.7835467333041,0.5204102987849221,0.3448581551455751,1.0,3.5,0.7745345095288388,4.0,50,10.0
rsrp,0.3766666666666667,824.199743127826,0.187980548642536,1.3266338573916088,1.0,7.0,0.6399714673886723,4.0,50,10.0
sinr,0.3766666666666667,824.199743127826,0.187980548642536,1.3266338573916088,1.0,7.0,0.6399714673886723,4.0,50,10.0
load_aware,0.37166666666666665,831.8676390160971,0.18042597141271222,1.3496385458113203,1.0,7.0,0.6441086540016364,4.0,50,10.0
oracle,1.0,359.9378780950752,0.6453814008915515,0.0,1.0,2.5,0.771477795694156,6.0,50,10.0
ml_gcn,0.4216666666666667,479.3701811669923,0.5277141072246381,0.3371823648876648,1.0,3.5,0.7522131319026631,6.0,50,10.0
rsrp,0.38999999999999996,816.3128263469621,0.19575091000299297,1.3130145593797076,1.0,7.0,0.6472232219762446,6.0,50,10.0
